,video,software,individual video minutes (N * min),maximum memory (GB),bin
3,group_1,trex,100.609375,4.7913055419921875,0
4,group_2,trex,100.57291666666666,6.307730674743652,0
5,group_3,trex,101.765625,5.494068145751953,0
9,video_example_100fish_1min,trex,100.05208333333333,13.447113037109375,0
2,flies_N59,trex,590.4820261437909,17.412320137023926,1
7,guppy_8_t36_d15_20191212_085800,trex,576.0,8.40723991394043,1
6,guppy_8_t20_d1_20190512_115801,trex,1585.7485714285715,28.61952495574951,3
8,guppy_8_t46_d1_20191207_102508,trex,1563.008888888889,21.9852294921875,3
3,group_1,idtracker.ai,100.609375,29.430191040039062,0
4,group_2,idtracker.ai,100.57291666666666,28.847399711608887,0
5,group_3,idtracker.ai,101.765625,29.319031715393066,0
9,video_example_100fish_1min,idtracker.ai,100.05208333333333,24.38792324066162,0
2,flies_N59,idtracker.ai,590.4820261437909,50.256967544555664,1
7,guppy_8_t36_d15_20191212_085800,idtracker.ai,576.0,91.25718402862549,1
6,guppy_8_t20_d1_20190512_115801,idtracker.ai,1585.7485714285715,115.36566257476807,3
8,guppy_8_t46_d1_20191207_102508,idtracker.ai,1563.008888888889,98.04244613647461,3
