,video,trex_trial,idtracker_trial,trex_id,idtracker_id
0,group_1,release_1,1,8,8
1,group_1,release_1,1,1,1
2,group_1,release_1,1,5,5
3,group_1,release_1,1,3,3
4,group_1,release_1,1,6,6
5,group_1,release_1,1,7,7
6,group_1,release_1,1,9,9
7,group_1,release_1,1,2,2
8,group_1,release_1,1,4,4
9,group_1,release_1,1,0,0
10,group_2,release_1,1,8,8
11,group_2,release_1,1,4,4
12,group_2,release_1,1,9,9
13,group_2,release_1,1,7,7
14,group_2,release_1,1,6,6
15,group_2,release_1,1,1,1
16,group_2,release_1,1,0,0
17,group_2,release_1,1,3,3
18,group_2,release_1,1,5,5
19,group_2,release_1,1,2,2
20,group_3,release_1,1,8,8
21,group_3,release_1,1,4,4
22,group_3,release_1,1,1,1
23,group_3,release_1,1,9,9
24,group_3,release_1,1,7,7
25,group_3,release_1,1,3,3
26,group_3,release_1,1,6,6
27,group_3,release_1,1,0,0
28,group_3,release_1,1,2,2
29,group_3,release_1,1,5,5
30,guppy_8_t36_d15_20191212_085800,release_1,1,7,7
31,guppy_8_t36_d15_20191212_085800,release_1,1,1,1
32,guppy_8_t36_d15_20191212_085800,release_1,1,5,5
33,guppy_8_t36_d15_20191212_085800,release_1,1,0,0
34,guppy_8_t36_d15_20191212_085800,release_1,1,2,2
35,guppy_8_t36_d15_20191212_085800,release_1,1,4,4
36,guppy_8_t36_d15_20191212_085800,release_1,1,3,3
37,guppy_8_t36_d15_20191212_085800,release_1,1,6,6
38,video_example_100fish_1min,release_1,1,73,73
39,video_example_100fish_1min,release_1,1,34,34
40,video_example_100fish_1min,release_1,1,77,77
41,video_example_100fish_1min,release_1,1,88,88
42,video_example_100fish_1min,release_1,1,66,66
43,video_example_100fish_1min,release_1,1,97,97
44,video_example_100fish_1min,release_1,1,41,41
45,video_example_100fish_1min,release_1,1,18,18
46,video_example_100fish_1min,release_1,1,96,96
47,video_example_100fish_1min,release_1,1,36,36
48,video_example_100fish_1min,release_1,1,17,17
49,video_example_100fish_1min,release_1,1,16,16
50,video_example_100fish_1min,release_1,1,82,82
